episode,step,job_idx,operation_id,reward,makespan,current_time,setup_time,job_completed,reward_makespan_reward,reward_setup_reward,reward_deadline_reward,reward_priority_reward,reward_critical_job_reward,reward_placement_reward,reward_lookahead_reward,reward_timeliness_reward,reward_machine_idle_penalty,reward_credit_assignment_penalty
1,97,11,J12:OP4,-7.485047340393066,4614,4614.0,20,False,-23.070000000000004,-497.5,115.36211716847477,280.0,58.899344863731656,0.0,600.2849317349318,-114.14925384521484,-534.2499999999998,0.0
1,98,17,J18:OP1,-7.8604230880737305,4676,4676.0,40,False,-23.380000000000003,-507.5,115.36211716847477,280.0,58.899344863731656,0.0,605.6849317349318,-114.97467803955078,-536.3749999999998,0.0
1,99,9,J10:OP6,-2.466296911239624,4714,4714.0,20,False,-23.570000000000004,-512.5,115.36211716847477,280.0,59.399344863731656,0.0,611.0541625041625,-115.82020568847656,-538.6749999999997,0.0
1,100,9,J10:OP7,-1.8007398843765259,4740,4740.0,15,False,-23.700000000000003,-516.25,115.36211716847477,280.0,59.899344863731656,0.0,616.4233932733932,-116.6601791381836,-541.6249999999998,0.0
1,101,9,J10:OP8,34.678756985949654,4772,4772.0,20,True,-23.860000000000003,-521.25,113.71975605736365,316.0,64.51601153039832,0.0,621.792624042624,-117.41495513916016,-545.3749999999998,0.0
1,102,10,J11:OP6,-5.308126449584961,4809,4809.0,20,False,-24.045,-526.25,113.71975605736365,316.0,64.51601153039832,0.0,627.1640526140526,-118.23451232910156,-550.0499999999997,0.0
1,103,11,J12:OP5,-6.445523262023926,4857,4857.0,20,False,-24.285,-531.25,113.71975605736365,316.0,64.51601153039832,0.0,632.5332833832833,-118.93426513671875,-555.9249999999997,0.0
1,104,17,J18:OP2,-7.5005950927734375,4897,4897.0,20,False,-24.485,-536.25,113.71975605736365,316.0,64.51601153039832,0.0,637.904711954712,-119.73129272460938,-562.7999999999997,0.0
1,105,8,J9:OP3,-3.4678597450256348,4966,4966.0,15,False,-24.83,-540.0,113.71975605736365,316.0,65.01601153039832,0.0,643.2761405261406,-120.48808288574219,-567.2874999999997,0.0
1,106,18,J19:OP4,-4.530675411224365,4999,4999.0,20,False,-24.994999999999997,-545.0,113.71975605736365,316.0,65.51601153039832,0.0,648.6475690975692,-121.27518463134766,-571.7374999999997,0.0
1,107,17,J18:OP3,-4.461284637451172,5043,5043.0,15,False,-25.214999999999996,-548.75,113.71975605736365,316.0,65.51601153039832,0.0,654.0975690975692,-122.07897186279297,-576.8749999999998,0.0
1,108,16,J17:OP2,-6.265164375305176,5083,5083.0,20,False,-25.414999999999996,-553.75,113.71975605736365,316.0,65.51601153039832,0.0,659.4667998668,-122.92586517333984,-582.4624999999997,0.0
1,109,10,J11:OP7,-7.303667068481445,5125,5125.0,20,False,-25.624999999999996,-558.75,113.71975605736365,316.0,65.51601153039832,0.0,664.8667998668,-123.78203582763672,-589.0999999999998,0.0
1,110,8,J9:OP4,-7.8251519203186035,5168,5168.0,20,False,-25.839999999999996,-563.75,113.71975605736365,316.0,66.01601153039832,0.0,670.3167998668,-124.62968444824219,-596.8124999999998,0.0
1,111,16,J17:OP3,-6.867012023925781,5217,5217.0,15,False,-26.084999999999997,-567.5,113.71975605736365,316.0,66.01601153039832,0.0,675.6882284382286,-125.49812316894531,-604.1874999999998,0.0
1,112,8,J9:OP5,-7.781479835510254,5249,5249.0,20,False,-26.244999999999997,-572.5,113.71975605736365,316.0,66.51601153039832,0.0,681.0882284382286,-126.45709991455078,-611.7499999999998,0.0
1,113,16,J17:OP4,-7.697678565979004,5290,5290.0,15,False,-26.449999999999996,-576.25,113.71975605736365,316.0,66.51601153039832,0.0,686.5382284382287,-127.4622802734375,-619.9374999999998,0.0
1,114,18,J19:OP5,-8.811455726623535,5327,5327.0,20,False,-26.634999999999994,-581.25,113.71975605736365,316.0,67.01601153039832,0.0,691.9382284382286,-128.38873291015625,-628.5374999999998,0.0
1,115,10,J11:OP8,15.251446723937988,5376,5376.0,20,True,-26.879999999999995,-586.25,111.55308939069698,344.0,67.01601153039832,0.0,697.3882284382287,-129.35061645507812,-638.3624999999998,0.0
1,116,18,J19:OP6,-10.719099044799805,5417,5417.0,20,False,-27.084999999999994,-591.25,111.55308939069698,344.0,67.51601153039832,0.0,702.8382284382287,-129.9647216796875,-649.2124999999999,0.0
1,117,16,J17:OP5,-10.0852632522583,5482,5482.0,15,False,-27.409999999999993,-595.0,111.55308939069698,344.0,67.51601153039832,0.0,708.3558754970522,-130.60513305664062,-660.0999999999999,0.0
1,118,17,J18:OP4,-11.776482582092285,5552,5552.0,15,False,-27.759999999999994,-598.75,111.55308939069698,344.0,67.51601153039832,0.0,713.8735225558758,-131.16175842285156,-672.7375,0.0
1,119,16,J17:OP6,-13.69904899597168,5626,5626.0,15,False,-28.129999999999995,-602.5,111.55308939069698,344.0,67.51601153039832,0.0,719.4735225558758,-131.85330200195312,-687.2249999999999,0.0
1,120,16,J17:OP7,8.561873435974121,5661,5661.0,10,True,-28.304999999999996,-605.0,109.13902689069698,368.0,67.51601153039832,0.0,725.0735225558758,-132.4398651123047,-702.5874999999999,0.0
1,121,18,J19:OP7,16.17971693724666,5706,5706.0,20,True,-28.529999999999998,-610.0,106.42711603939995,400.0,68.01601153039832,0.0,730.6735225558758,-132.98573303222656,-716.0249999999999,0.0
1,122,17,J18:OP5,7.265501976013184,5739,5739.0,20,True,-28.694999999999997,-615.0,103.94534520606662,424.0,68.01601153039832,0.0,736.2735225558758,-133.4109649658203,-730.2874999999999,0.0
1,123,11,J12:OP6,-15.393067359924316,5787,5787.0,20,False,-28.934999999999995,-620.0,103.94534520606662,424.0,68.01601153039832,0.0,741.8735225558759,-133.7015380859375,-745.7499999999999,0.0
1,124,11,J12:OP7,-11.060347557067871,5829,5829.0,20,True,-29.144999999999996,-625.0,101.35540458434116,432.0,68.01601153039832,0.0,747.4735225558759,-134.0494384765625,-762.2624999999999,0.0
1,125,14,J15:OP1,-7.9664106369018555,5892,5892.0,40,False,-29.459999999999997,-635.0,101.35540458434116,432.0,68.51601153039832,0.0,753.1682593979812,-134.2205810546875,-765.9374999999999,0.0
1,126,8,J9:OP6,0.8759143352508545,5953,5953.0,10,False,-29.764999999999997,-637.5,101.35540458434116,432.0,69.01601153039832,0.0,758.8629962400864,-134.42190551757812,-768.2499999999999,0.0
1,127,8,J9:OP7,29.60286895439639,5986,5986.0,10,True,-29.929999999999996,-640.0,98.6592240287856,464.0,69.51601153039832,0.0,764.5577330821917,-134.5150909423828,-771.3874999999999,0.0
1,128,14,J15:OP2,-0.9702631235122681,6019,6019.0,20,False,-30.094999999999995,-645.0,98.6592240287856,464.0,70.01601153039832,0.0,770.252469924297,-134.5150909423828,-773.3874999999999,0.0
1,129,14,J15:OP3,-0.6427631378173828,6069,6069.0,15,False,-30.344999999999995,-648.75,98.6592240287856,464.0,70.51601153039832,0.0,775.9472067664022,-134.5150909423828,-776.2249999999999,0.0
1,130,14,J15:OP4,-1.6527631282806396,6111,6111.0,15,False,-30.554999999999996,-652.5,98.6592240287856,464.0,71.01601153039832,0.0,781.6419436085075,-134.5150909423828,-780.1125,0.0
1,131,14,J15:OP5,-2.742763042449951,6151,6151.0,20,False,-30.754999999999995,-657.5,98.6592240287856,464.0,71.51601153039832,0.0,787.3366804506128,-134.5150909423828,-783.8499999999999,0.0
1,132,14,J15:OP6,-2.43276309967041,6189,6189.0,15,False,-30.944999999999997,-661.25,98.6592240287856,464.0,72.01601153039832,0.0,793.0314172927181,-134.5150909423828,-788.5374999999999,0.0
1,133,14,J15:OP7,-8.797499656677246,6231,6231.0,15,False,-31.154999999999998,-665.0,98.6592240287856,464.0,72.51601153039832,0.0,792.456417292718,-134.5150909423828,-793.3,0.0
1,134,14,J15:OP8,27.966016091407177,6287,6287.0,10,True,-31.435,-667.5,95.61121838106234,504.0,73.01601153039832,-0.5434782608695652,792.456417292718,-134.5150909423828,-799.4625,0.0
