episode,step,job_idx,reward,makespan,current_time,setup_time,job_completed
2,66,5,20.0,3271.0,3271.0,15,False
2,67,13,3.6271260039508344,3307.0,3307.0,20,False
2,68,12,15.993316808061369,3349.0,3349.0,20,False
2,69,0,14.265595160099997,3400.0,3400.0,15,False
2,70,2,18.443679461128106,3437.0,3437.0,20,False
2,71,1,5.949080847397225,3480.0,3480.0,15,False
2,72,2,20.0,3516.0,3516.0,15,False
2,73,0,15.708247319975897,3554.0,3554.0,20,False
2,74,14,20.0,3596.0,3596.0,15,False
2,75,15,17.22727978829795,3634.0,3634.0,15,False
2,76,1,6.293009305646763,3675.0,3675.0,20,False
2,77,1,7.182125849437654,3719.0,3719.0,20,False
2,78,4,1.7033042092954929,3759.0,3759.0,15,False
2,79,1,0.03575519277088643,3795.0,3795.0,15,True
2,80,0,16.259260412877175,3837.0,3837.0,20,False
2,81,11,1.4858536676388947,3897.0,3897.0,15,False
2,82,4,2.9021946321205414,3932.0,3932.0,20,False
2,83,15,17.665007515336153,3966.0,3966.0,20,False
2,84,5,17.231347217132797,4022.0,4022.0,15,True
2,85,19,5.733786138687879,4061.0,4061.0,15,False
2,86,2,11.987044857482411,4091.0,4091.0,20,True
2,87,14,20.0,4131.0,4131.0,20,False
2,88,15,4.1639001748143745,4181.0,4181.0,20,True
2,89,11,2.37804686764124,4227.0,4227.0,20,False
2,90,14,20.0,4270.0,4270.0,20,False
2,91,4,1.787075594628035,4320.0,4320.0,20,False
2,92,14,20.0,4362.0,4362.0,15,False
2,93,8,8.50201580391891,4400.0,4400.0,15,True
2,94,19,5.375524239201725,4456.0,4456.0,15,False
2,95,14,11.028920813060518,4517.0,4517.0,15,True
2,96,17,11.11403380254556,4557.0,4557.0,20,False
2,97,12,-0.4813229532072808,4625.0,4625.0,15,True
2,98,19,7.423835665800615,4662.0,4662.0,20,False
2,99,3,13.412616733439059,4717.0,4717.0,15,False
2,100,19,9.293451775690038,4757.0,4757.0,15,False
2,101,0,-1.0034727744824865,4789.0,4789.0,20,True
2,102,10,16.550261751616848,4826.0,4826.0,20,False
2,103,10,19.000091717358846,4863.0,4863.0,15,False
2,104,11,3.2954354032492845,4911.0,4911.0,20,False
2,105,11,7.117227730416158,4954.0,4954.0,15,False
2,106,13,5.493098387406833,4991.0,4991.0,15,False
2,107,10,-5.075479659673884,5040.0,5040.0,20,True
2,108,17,13.48373110733348,5084.0,5084.0,15,False
2,109,4,-15.0,5126.0,5126.0,20,True
2,110,11,-15.0,5163.0,5163.0,15,True
2,111,13,5.452817550194798,5201.0,5201.0,20,False
2,112,17,12.618079562510129,5271.0,5271.0,15,False
2,113,13,4.589649204825288,5320.0,5320.0,20,False
2,114,19,-15.0,5375.0,5375.0,15,True
2,115,17,-10.24434096318906,5408.0,5408.0,20,True
2,116,13,5.47967334816705,5458.0,5458.0,20,False
2,117,9,15.773324498298454,5530.0,5530.0,40,False
2,118,3,15.839504417735123,5564.0,5564.0,20,False
2,119,3,14.981810624033276,5609.0,5609.0,20,False
2,120,13,7.68103864929903,5653.0,5653.0,20,False
2,121,13,-15.0,5694.0,5694.0,20,True
2,122,16,13.640051606480023,5735.0,5735.0,15,False
2,123,16,12.515155674772286,5800.0,5800.0,15,False
2,124,9,16.193285697134794,5845.0,5845.0,20,False
2,125,9,17.817159618220447,5899.0,5899.0,15,False
2,126,3,16.23308133850172,5943.0,5943.0,20,False
2,127,16,12.785821092546557,6017.0,6017.0,15,False
2,128,16,-11.97642814020946,6052.0,6052.0,10,True
2,129,3,-10.596518547915258,6093.0,6093.0,15,True
2,130,9,18.46004309262135,6135.0,6135.0,20,False
2,131,9,20.0,6166.0,6166.0,20,False
2,132,9,20.0,6199.0,6199.0,15,False
2,133,9,20.0,6225.0,6225.0,15,False
2,134,9,-2.4821350078284734,6257.0,6257.0,20,True
3,1,9,20.0,32.0,32.0,0,False
3,2,10,4.422163615796104,103.0,103.0,40,False
3,3,1,3.824094768448255,144.0,144.0,25,False
3,4,1,9.575539363865827,154.0,154.0,0,False
3,5,10,13.094711227648295,182.0,182.0,15,False
3,6,19,0.5959931982656526,241.0,241.0,40,False
3,7,9,12.355329543992653,286.0,286.0,20,False
3,8,9,20.0,325.0,325.0,0,False
3,9,13,0.8031529190647066,383.0,383.0,40,False
3,10,9,19.750391355646187,425.0,425.0,20,False
3,11,13,3.086844637963309,461.0,461.0,20,False
3,12,8,9.78349633238209,526.0,526.0,25,False
3,13,9,20.0,557.0,557.0,20,False
3,14,9,20.0,590.0,590.0,15,False
3,15,9,20.0,616.0,616.0,15,False
3,16,9,20.0,648.0,648.0,20,True
3,17,4,-3.945941146736714,724.0,724.0,40,False
3,18,8,13.365211189113445,760.0,760.0,20,False
3,19,10,12.578939125582355,817.0,817.0,15,False
3,20,4,1.3247666378519434,852.0,852.0,20,False
3,21,8,17.15716154016665,916.0,916.0,10,False
3,22,6,9.517914619926195,991.0,991.0,40,False
3,23,17,7.695548782517662,1053.0,1053.0,40,False
3,24,10,17.613480036534483,1090.0,1090.0,15,False
3,25,8,19.547159618584075,1133.0,1133.0,20,False
3,26,13,6.6968621054202755,1170.0,1170.0,15,False
3,27,8,20.0,1202.0,1202.0,20,False
3,28,2,8.424745730063808,1276.0,1276.0,40,False
3,29,6,13.207010241377708,1319.0,1319.0,20,False
3,30,13,8.228074145650686,1357.0,1357.0,20,False
3,31,18,13.168441530123577,1397.0,1397.0,25,False
3,32,18,11.039001478824153,1447.0,1447.0,20,False
3,33,12,9.653025182343242,1513.0,1513.0,25,False
3,34,6,18.34716198819342,1552.0,1552.0,15,False
3,35,0,6.566429639885675,1632.0,1632.0,40,False
3,36,19,2.536097414084969,1677.0,1677.0,20,False
3,37,1,8.820281034076393,1720.0,1720.0,15,False
3,38,13,8.960130863612267,1769.0,1769.0,20,False
3,39,13,13.950613010512358,1814.0,1814.0,15,False
3,40,13,17.63248147710935,1853.0,1853.0,15,False
3,41,13,20.0,1894.0,1894.0,20,True
3,42,10,19.190215127801718,1948.0,1948.0,15,False
3,43,2,12.850231231024015,1988.0,1988.0,20,False
3,44,8,20.0,2049.0,2049.0,10,False
3,45,17,11.794664089764234,2089.0,2089.0,20,False
3,46,18,17.965157549156622,2126.0,2126.0,15,False
3,47,12,13.259351693956711,2169.0,2169.0,20,False
3,48,2,16.958179811497228,2237.0,2237.0,10,False
3,49,10,20.0,2274.0,2274.0,20,False
3,50,10,20.0,2311.0,2311.0,15,False
3,51,6,19.892839489541387,2354.0,2354.0,20,False
3,52,12,19.676801340482125,2417.0,2417.0,10,False
3,53,0,12.854306182601116,2453.0,2453.0,20,False
3,54,17,17.35679698063144,2497.0,2497.0,15,False
3,55,10,20.0,2546.0,2546.0,20,True
3,56,19,10.249361511474287,2580.0,2580.0,10,False
3,57,17,19.677577367571757,2650.0,2650.0,15,False
3,58,7,8.079202233240082,2709.0,2709.0,40,False
3,59,12,20.0,2751.0,2751.0,20,False
3,60,19,7.8867909083056285,2802.0,2802.0,10,False
3,61,3,11.88057520465683,2867.0,2867.0,40,False
3,62,14,20.0,2915.0,2915.0,25,False
3,63,1,6.302153197879814,2956.0,2956.0,20,False
3,64,0,14.278908070663908,3007.0,3007.0,15,False
3,65,17,17.380327981799397,3040.0,3040.0,20,True
3,66,4,1.7248325725411295,3080.0,3080.0,15,False
3,67,18,18.132773645286047,3113.0,3113.0,20,False
3,68,19,7.4172585246291,3150.0,3150.0,20,False
3,69,14,20.0,3183.0,3183.0,20,False
3,70,7,9.50532056855325,3216.0,3216.0,20,False
3,71,7,8.080214599664533,3285.0,3285.0,15,False
3,72,18,18.465080616158655,3322.0,3322.0,20,False
3,73,0,15.72778871766667,3360.0,3360.0,20,False
3,74,1,7.203466977753597,3404.0,3404.0,20,False
3,75,6,18.484893069658707,3450.0,3450.0,20,False
3,76,14,20.0,3500.0,3500.0,15,False
3,77,7,9.04289982590954,3573.0,3573.0,15,False
3,78,7,11.210342279536215,3637.0,3637.0,15,False
3,79,4,2.9243346582175187,3672.0,3672.0,20,False
3,80,14,20.0,3714.0,3714.0,15,False
3,81,6,20.0,3752.0,3752.0,20,False
3,82,0,18.671273140111076,3789.0,3789.0,15,False
3,83,11,-0.5709279949972634,3860.0,3860.0,40,False
3,84,7,-0.821511166487167,3910.0,3910.0,20,True
3,85,4,1.8361209562153957,3960.0,3960.0,20,False
3,86,2,15.204975484713499,4010.0,4010.0,20,False
3,87,19,9.333800370255704,4050.0,4050.0,15,False
3,88,14,20.0,4090.0,4090.0,20,False
3,89,6,20.0,4120.0,4120.0,15,False
3,90,6,11.934805078737773,4165.0,4165.0,20,True
3,91,5,18.07724899424546,4241.0,4241.0,40,False
3,92,11,0.6503766727339492,4283.0,4283.0,20,False
3,93,11,1.5744933254921494,4343.0,4343.0,15,False
3,94,0,3.8333048265549676,4375.0,4375.0,20,True
3,95,12,1.590744090302667,4443.0,4443.0,15,True
3,96,1,-8.872641216044993,4479.0,4479.0,15,True
3,97,19,-14.331740906799016,4534.0,4534.0,15,True
3,98,4,-15.0,4576.0,4576.0,20,True
3,99,3,13.486885315817174,4611.0,4611.0,20,False
3,100,15,14.446040530658479,4662.0,4662.0,25,False
3,101,18,18.875329329625153,4703.0,4703.0,20,False
3,102,11,2.470769804696728,4749.0,4749.0,20,False
3,103,18,-0.8227284800561492,4794.0,4794.0,20,True
3,104,5,20.0,4827.0,4827.0,20,False
3,105,14,20.0,4870.0,4870.0,20,False
3,106,8,2.9434464071179502,4908.0,4908.0,15,True
3,107,15,13.86268615758686,4943.0,4943.0,20,False
3,108,5,20.0,4996.0,4996.0,15,False
3,109,2,18.562251231640673,5033.0,5033.0,20,False
3,110,2,20.0,5069.0,5069.0,15,False
3,111,16,8.07737403633466,5147.0,5147.0,40,False
3,112,2,0.004994999374917736,5177.0,5177.0,20,True
3,113,11,3.3934528731607174,5225.0,5225.0,20,False
3,114,11,7.213994048542337,5268.0,5268.0,15,False
3,115,3,15.898146325709787,5318.0,5318.0,10,False
3,116,14,20.0,5360.0,5360.0,15,False
3,117,14,4.073997283259879,5416.0,5416.0,10,True
3,118,5,20.0,5489.0,5489.0,15,False
3,119,11,-15.0,5531.0,5531.0,20,True
3,120,5,1.4364609315212982,5587.0,5587.0,15,True
3,121,15,14.975099660629656,5632.0,5632.0,15,False
3,122,3,15.840974034050157,5666.0,5666.0,20,False
3,123,3,14.98358186033997,5711.0,5711.0,20,False
3,124,15,14.980379502385189,5754.0,5754.0,20,False
3,125,15,17.796838273079093,5788.0,5788.0,20,False
3,126,3,18.61843924368098,5827.0,5827.0,15,False
3,127,16,10.351939950013307,5867.0,5867.0,20,False
3,128,15,-13.450603442559048,5917.0,5917.0,20,True
3,129,3,-10.61365933501009,5958.0,5958.0,15,True
3,130,16,11.800631714619872,6007.0,6007.0,15,False
3,131,16,13.64528989241099,6048.0,6048.0,15,False
3,132,16,12.521422585997819,6113.0,6113.0,15,False
3,133,16,15.215681004377124,6182.0,6182.0,10,False
3,134,16,-11.982216421961786,6217.0,6217.0,10,True
4,1,7,20.0,19.0,19.0,0,False
4,2,13,1.2168764618261538,62.0,62.0,25,False
4,3,7,12.68798722194795,75.0,75.0,0,False
4,4,15,6.775834842866928,141.0,141.0,40,False
4,5,11,-2.9830207360578758,212.0,212.0,40,False
